audiofilename,start,end,label:species
MNHN-SO-2020-2034_extr_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-2034_extr_0s_07_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-2034_extr_0s_08_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-2034_extr_0s_09_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-2034_extr_0s_10_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-2034_extr_0s_11_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-3028_extr_0s_00_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-3028_extr_0s_01_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-3028_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-3028_extr_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-3028_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-3028_extr_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-384_extr_0s_01_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-384_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-384_extr_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-384_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-384_extr_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-384_extr_0s_06_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_06_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_10_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_11_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-2121_full_0s_12_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-280_extr_0s_00_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-280_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-280_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-280_extr_0s_06_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2021-280_extr_0s_07_norm.wav,0.0,3.0,Eurasian Blackbird
MNHN-SO-2020-421_extr3_0s_00_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-421_extr3_0s_01_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-421_extr3_0s_02_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-421_extr3_0s_03_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-421_extr3_0s_04_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-421_extr3_0s_05_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-421_extr3_0s_07_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_00_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_01_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_02_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_03_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_04_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_05_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_06_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-423_extr3_0s_07_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-429_extr2_0s_00_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-429_extr2_0s_01_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-429_extr2_0s_02_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-429_extr2_0s_03_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-429_extr2_0s_04_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-429_extr2_0s_05_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_00_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_01_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_02_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_03_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_04_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_05_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-435_extr1_0s_06_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_00_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_01_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_02_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_03_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_04_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_05_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_06_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_07_norm.wav,0.0,3.0,European Robin
MNHN-SO-2020-436_extr2_0s_08_norm.wav,0.0,3.0,European Robin
MNHN-SO-2016-11213_extr_0s_00_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_01_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_02_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_03_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_04_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_05_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_06_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_07_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11213_extr_0s_08_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_00_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_01_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_02_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_03_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_04_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_05_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11214_full_0s_06_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_00_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_01_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_02_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_03_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_04_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_05_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_06_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11215_extr_ext_0s_07_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11232_full_0s_00_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11232_full_0s_01_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11232_full_0s_02_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11232_full_0s_03_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11232_full_0s_04_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11232_full_0s_05_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_00_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_01_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_02_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_03_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_04_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_05_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_06_norm.wav,0.0,3.0,Goldcrest
MNHN-SO-2016-11237_extr_0s_07_norm.wav,0.0,3.0,Goldcrest
ambient_sound_with_insect_01.wav,0.0,3.0,Great Green Bush-Cricket
rain01.wav,0.0,3.0,Light Rain
rain02.wav,0.0,3.0,Light Rain
