time_of_day,week_of_year,day_of_year,continuous_timestamp,parent_directory,audio_file_name,default_classifier,start,end
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_08_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_10_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_11_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_12_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9318_full_0s_13_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9346_full_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9346_full_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9346_full_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9346_full_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9346_full_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9346_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Coal Tit,Coal Tit/MNHN-SO-2016-9349_extr_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_08_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_09_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_10_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_11_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_10_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_11_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_12_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Eurasian Blackbird,Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-421_extr3_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-423_extr3_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-429_extr2_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-429_extr2_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-429_extr2_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-429_extr2_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-429_extr2_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-429_extr2_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-435_extr1_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,European Robin,European Robin/MNHN-SO-2020-436_extr2_0s_08_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11213_extr_0s_08_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11214_full_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11232_full_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11232_full_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11232_full_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11232_full_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11232_full_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11232_full_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_00_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_01_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_02_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_03_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_04_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_05_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_06_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Goldcrest,Goldcrest/MNHN-SO-2016-11237_extr_0s_07_norm.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Great Green Bush-Cricket,Great Green Bush-Cricket/ambient_sound_with_insect_01.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Light Rain,Light Rain/rain01.wav,below_thresh,0.0,3.0
00-00-00,2000--41,2000-10-10,2000-10-10_00:00:00,Light Rain,Light Rain/rain02.wav,below_thresh,0.0,3.0
