audiofilename,start,end,label,predefined_set
Coal Tit/MNHN-SO-2016-9346_full_0s_01_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9346_full_0s_02_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9346_full_0s_03_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9346_full_0s_04_norm.wav,0.0,3.0,Coal Tit,test
Coal Tit/MNHN-SO-2016-9346_full_0s_05_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_00_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_01_norm.wav,0.0,3.0,Coal Tit,val
Coal Tit/MNHN-SO-2016-9349_extr_0s_02_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_03_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_04_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_05_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_06_norm.wav,0.0,3.0,Coal Tit,train
Coal Tit/MNHN-SO-2016-9349_extr_0s_07_norm.wav,0.0,3.0,Coal Tit,train
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_01_norm.wav,0.0,3.0,Eurasian Blackbird,val
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird,test
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_07_norm.wav,0.0,3.0,Eurasian Blackbird,test
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_08_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_09_norm.wav,0.0,3.0,Eurasian Blackbird,test
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_10_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-2034_extr_0s_11_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_00_norm.wav,0.0,3.0,Eurasian Blackbird,val
Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_01_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-3028_extr_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_01_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird,val
Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2020-384_extr_0s_06_norm.wav,0.0,3.0,Eurasian Blackbird,val
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird,val
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_03_norm.wav,0.0,3.0,Eurasian Blackbird,test
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_05_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_06_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_10_norm.wav,0.0,3.0,Eurasian Blackbird,test
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_11_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-2121_full_0s_12_norm.wav,0.0,3.0,Eurasian Blackbird,test
Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_00_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_02_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_04_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_06_norm.wav,0.0,3.0,Eurasian Blackbird,train
Eurasian Blackbird/MNHN-SO-2021-280_extr_0s_07_norm.wav,0.0,3.0,Eurasian Blackbird,val
European Robin/MNHN-SO-2020-421_extr3_0s_00_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-421_extr3_0s_01_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-421_extr3_0s_02_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-421_extr3_0s_03_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-421_extr3_0s_04_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-421_extr3_0s_05_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-421_extr3_0s_07_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-423_extr3_0s_00_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-423_extr3_0s_01_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-423_extr3_0s_02_norm.wav,0.0,3.0,European Robin,val
European Robin/MNHN-SO-2020-423_extr3_0s_03_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-423_extr3_0s_04_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-423_extr3_0s_05_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-423_extr3_0s_06_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-423_extr3_0s_07_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-429_extr2_0s_00_norm.wav,0.0,3.0,European Robin,val
European Robin/MNHN-SO-2020-429_extr2_0s_01_norm.wav,0.0,3.0,European Robin,val
European Robin/MNHN-SO-2020-429_extr2_0s_02_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-429_extr2_0s_03_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-429_extr2_0s_04_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-429_extr2_0s_05_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-435_extr1_0s_00_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-435_extr1_0s_01_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-435_extr1_0s_02_norm.wav,0.0,3.0,European Robin,val
European Robin/MNHN-SO-2020-435_extr1_0s_03_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-435_extr1_0s_04_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-435_extr1_0s_05_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-435_extr1_0s_06_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-436_extr2_0s_00_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-436_extr2_0s_01_norm.wav,0.0,3.0,European Robin,test
European Robin/MNHN-SO-2020-436_extr2_0s_02_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-436_extr2_0s_03_norm.wav,0.0,3.0,European Robin,val
European Robin/MNHN-SO-2020-436_extr2_0s_04_norm.wav,0.0,3.0,European Robin,val
European Robin/MNHN-SO-2020-436_extr2_0s_05_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-436_extr2_0s_06_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-436_extr2_0s_07_norm.wav,0.0,3.0,European Robin,train
European Robin/MNHN-SO-2020-436_extr2_0s_08_norm.wav,0.0,3.0,European Robin,train
Goldcrest/MNHN-SO-2016-11213_extr_0s_00_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11213_extr_0s_01_norm.wav,0.0,3.0,Goldcrest,val
Goldcrest/MNHN-SO-2016-11213_extr_0s_02_norm.wav,0.0,3.0,Goldcrest,val
Goldcrest/MNHN-SO-2016-11213_extr_0s_03_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11213_extr_0s_04_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11213_extr_0s_05_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11213_extr_0s_06_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11213_extr_0s_07_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11213_extr_0s_08_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11214_full_0s_00_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11214_full_0s_01_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11214_full_0s_02_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11214_full_0s_03_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11214_full_0s_04_norm.wav,0.0,3.0,Goldcrest,val
Goldcrest/MNHN-SO-2016-11214_full_0s_05_norm.wav,0.0,3.0,Goldcrest,val
Goldcrest/MNHN-SO-2016-11214_full_0s_06_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_00_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_01_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_02_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_03_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_04_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_05_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_06_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11215_extr_ext_0s_07_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11232_full_0s_00_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11232_full_0s_01_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11232_full_0s_02_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11232_full_0s_03_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11232_full_0s_04_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11232_full_0s_05_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11237_extr_0s_00_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11237_extr_0s_01_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11237_extr_0s_02_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11237_extr_0s_03_norm.wav,0.0,3.0,Goldcrest,val
Goldcrest/MNHN-SO-2016-11237_extr_0s_04_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11237_extr_0s_05_norm.wav,0.0,3.0,Goldcrest,test
Goldcrest/MNHN-SO-2016-11237_extr_0s_06_norm.wav,0.0,3.0,Goldcrest,train
Goldcrest/MNHN-SO-2016-11237_extr_0s_07_norm.wav,0.0,3.0,Goldcrest,val
Great Green Bush-Cricket/ambient_sound_with_insect_01.wav,0.0,3.0,Great Green Bush-Cricket,undefined
Light Rain/rain01.wav,0.0,3.0,Light Rain,undefined
Light Rain/rain02.wav,0.0,3.0,Light Rain,undefined
